Municipio;cd_geocmu;TT17_Dominant
Presidente Médici - RO;1100254;1
Presidente Sarney - MA;2109270;3
Presidente Vargas - MA;2109304;1
Primavera - PA;1506104;2
Primavera de Rondônia - RO;1101476;4
Primavera do Leste - MT;5107040;7
Pugmil - TO;1718451;4
Quatipuru - PA;1506112;2
Querência - MT;5107065;7
Raposa - MA;2109452;1
Recursolândia - TO;1718501;4
Redenção - PA;1506138;4
Reserva do Cabaçal - MT;5107156;7
Riachão - MA;2109502;7
Riachinho - TO;1718550;2
Ribamar Fiquene - MA;2109551;5
Ribeirão Cascalheira - MT;5107180;7
Ribeirãozinho - MT;5107198;7
Rio Branco - AC;1200401;4
Rio Branco - MT;5107206;4
Rio Crespo - RO;1100262;4
Rio da Conceição - TO;1718659;4
Rio dos Bois - TO;1718709;7
Rio Maria - PA;1506161;4
Rio Preto da Eva - AM;1303569;5
Rio Sono - TO;1718758;4
Rodrigues Alves - AC;1200427;1
Rolim de Moura - RO;1100288;3
Rondolândia - MT;5107578;4
Rondon do Pará - PA;1506187;4
Rondonópolis - MT;5107602;4
Rorainópolis - RR;1400472;3
Rosário - MA;2109601;1
Rosário Oeste - MT;5107701;4
Rurópolis - PA;1506195;3
Salinópolis - PA;1506203;2
Salto do Céu - MT;5107750;4
Salvaterra - PA;1506302;7
Sambaíba - MA;2109700;7
Sampaio - TO;1718808;2
Sandolândia - TO;1718840;4
Santa Bárbara do Pará - PA;1506351;2
Santa Carmem - MT;5107248;7
Santa Cruz do Arari - PA;1506401;2
Santa Cruz do Xingu - MT;5107743;7
Santa Fé do Araguaia - TO;1718865;4
Santa Filomena do Maranhão - MA;2109759;1
Santa Helena - MA;2109809;3
Santa Inês - MA;2109908;4
Santa Isabel do Rio Negro - AM;1303601;2
Santa Izabel do Pará - PA;1506500;7
Santa Luzia - MA;2110005;4
Santa Luzia do Pará - PA;1506559;1
Santa Luzia do Paruá - MA;2110039;4
Santa Luzia D'Oeste - RO;1100296;2
Santa Maria das Barreiras - PA;1506583;4
Santa Maria do Pará - PA;1506609;1
Santa Maria do Tocantins - TO;1718881;4
Santa Rita - MA;2110203;4
Santa Rita do Tocantins - TO;1718899;4
Santa Rita do Trivelato - MT;5107768;7
Santa Rosa do Purus - AC;1200435;2
Santa Rosa do Tocantins - TO;1718907;7
Santa Tereza do Tocantins - TO;1719004;2
Santa Terezinha - MT;5107776;4
Santa Terezinha do Tocantins - TO;1720002;4
Santana - AP;1600600;2
Santana do Araguaia - PA;1506708;4
Santarém - PA;1506807;7
Santarém Novo - PA;1506906;2
Santo Afonso - MT;5107263;7
Santo Antônio do Içá - AM;1303700;1
Santo Antônio do Leste - MT;5107792;7
Santo Antônio do Leverger - MT;5107800;5
Santo Antônio do Tauá - PA;1507003;5
Santo Antônio dos Lopes - MA;2110302;2
São Bento - MA;2110500;2
São Bento do Tocantins - TO;1720101;4
São Caetano de Odivelas - PA;1507102;2
São Domingos do Araguaia - PA;1507151;4
São Domingos do Azeitão - MA;2110658;7
São Domingos do Capim - PA;1507201;1
São Domingos do Maranhão - MA;2110708;1
São Felipe D'Oeste - RO;1101484;2
São Félix de Balsas - MA;2110807;4
São Félix do Araguaia - MT;5107859;7
São Félix do Tocantins - TO;1720150;2
São Félix do Xingu - PA;1507300;4
São Francisco do Brejão - MA;2110856;4
São Francisco do Guaporé - RO;1101492;4
São Francisco do Pará - PA;1507409;7
São Gabriel da Cachoeira - AM;1303809;1
São Geraldo do Araguaia - PA;1507458;4
São João Batista - MA;2111003;3
São João da Baliza - RR;1400506;2
São João da Ponta - PA;1507466;2
São João de Pirabas - PA;1507474;2
São João do Araguaia - PA;1507508;3
São João do Carú - MA;2111029;1
São João do Paraíso - MA;2111052;3
São João do Soter - MA;2111078;4
São José de Ribamar - MA;2111201;3
São José do Povo - MT;5107297;4
São José do Rio Claro - MT;5107305;7
São José do Xingu - MT;5107354;7
São José dos Basílios - MA;2111250;1
São José dos Quatro Marcos - MT;5107107;5
São Luís - MA;2111300;3
São Luís Gonzaga do Maranhão - MA;2111409;2
São Luiz - RR;1400605;2
São Mateus do Maranhão - MA;2111508;4
São Miguel do Guamá - PA;1507607;1
São Miguel do Guaporé - RO;1100320;7
São Miguel do Tocantins - TO;1720200;4
São Paulo de Olivença - AM;1303908;1
São Pedro da Água Branca - MA;2111532;4
São Pedro da Cipa - MT;5107404;7
São Pedro dos Crentes - MA;2111573;4
São Raimundo das Mangabeiras - MA;2111607;7
São Raimundo do Doca Bezerra - MA;2111631;3
São Roberto - MA;2111672;1
São Salvador do Tocantins - TO;1720259;2
São Sebastião da Boa Vista - PA;1507706;2
São Sebastião do Tocantins - TO;1720309;2
São Sebastião do Uatumã - AM;1303957;1
São Valério - TO;1720499;7
São Vicente Ferrer - MA;2111706;3
Sapezal - MT;5107875;7
Sapucaia - PA;1507755;4
Satubinha - MA;2111722;1
Sena Madureira - AC;1200500;5
Senador Alexandre Costa - MA;2111748;4
Senador Guiomard - AC;1200450;4
Senador José Porfírio - PA;1507805;2
Senador La Rocque - MA;2111763;4
Seringueiras - RO;1101500;4
Serra do Navio - AP;1600055;2
Serra Nova Dourada - MT;5107883;4
Serrano do Maranhão - MA;2111789;2
Silvanópolis - TO;1720655;7
Silves - AM;1304005;2
Sinop - MT;5107909;7
Sítio Novo - MA;2111805;4
Sítio Novo do Tocantins - TO;1720804;2
Sorriso - MT;5107925;7
Soure - PA;1507904;4
Sucupira - TO;1720853;7
Sucupira do Norte - MA;2111904;4
Tabaporã - MT;5107941;7
Tabatinga - AM;1304062;2
Taguatinga - TO;1720903;2
Tailândia - PA;1507953;5
Taipas do Tocantins - TO;1720937;4
Talismã - TO;1720978;7
Tangará da Serra - MT;5107958;4
Tapauá - AM;1304104;1
Tapurah - MT;5108006;7
Tarauacá - AC;1200609;1
Tartarugalzinho - AP;1600709;7
Tasso Fragoso - MA;2112001;7
Tefé - AM;1304203;1
Teixeirópolis - RO;1101559;2
Terra Alta - PA;1507961;2
Terra Nova do Norte - MT;5108055;4
Terra Santa - PA;1507979;2
Tesouro - MT;5108105;7
Theobroma - RO;1101609;4
Timbiras - MA;2112100;4
Tocantínia - TO;1721109;7
Tocantinópolis - TO;1721208;2
Tomé-Açu - PA;1508001;5
Tonantins - AM;1304237;1
Torixoréu - MT;5108204;4
